2100	4:55	5:02	5:04	5:07	5:09	5:14	5:19	5:23	5:30	5:39	5:50	5:54	5:57	5:59	6:03	6:05	6:08	6:11	6:14	6:21															
2102	5:02	5:09	5:11	5:14	5:16	5:21	5:26	5:30	5:37	5:46	5:57	6:01	6:04	6:06	6:10	6:12	6:15	6:18	6:21	6:30	6:35	6:40	6:44		6:50	7:01	7:04	7:18	7:27	7:47	7:56	8:05	8:09	8:16	8:31
2104	5:25	5:32	5:34	5:37	5:39	5:44	5:49	5:53	6:00	6:09	6:20	6:24	6:27	6:29	6:33	6:35	6:38	6:41	6:44	6:51															
2106	5:55	6:02	6:04	6:07	6:09	6:14	6:19	6:23	6:30	6:39	6:50	6:54	6:57	6:59	7:03	7:05	7:08	7:11	7:14	7:21															
2340	6:11	6:18	6:20	6:23	6:25	6:30	6:35	6:39	6:46	6:55	7:06	7:10																							
2108	6:19	6:26	6:28	6:31	6:33	6:38	6:43	6:47	6:54	7:03	7:14	7:18	7:21	7:23	7:27	7:29	7:32	7:35	7:38	7:50	7:55	8:01	8:04	8:12											
2110	6:43	6:50	6:52	6:55	6:57	7:02	7:07	7:11	7:18	7:27	7:38	7:42	7:45	7:47	7:51	7:53	7:56	7:59	8:02	8:09															
2344	6:56	7:03	7:05	7:08	7:10	7:15	7:20	7:24	7:31	7:40	7:51	7:55																							
2112	7:19	7:26	7:28	7:31	7:33	7:38	7:43	7:47	7:54	8:03	8:14	8:18	8:21	8:23	8:27	8:29	8:32	8:35	8:38	8:45															
2352																										8:52	8:55	9:05	9:15	9:26	9:35	9:44	9:48	9:54	10:09
2116	7:39	7:46	7:48	7:51	7:53	7:58	8:03	8:07	8:14	8:23	8:34	8:38	8:41	8:43	8:47	8:49	8:52	8:55	8:58	9:05															
2118	8:11	8:18	8:20	8:23	8:25	8:30	8:35	8:39	8:46	8:55	9:06	9:10	9:13	9:15	9:19	9:21	9:24	9:27	9:30	9:37															
2120	8:35	8:42	8:44	8:47	8:49	8:54	8:59	9:03	9:10	9:19	9:30	9:34	9:37	9:39	9:43	9:45	9:48	9:51	9:54	10:01															
2122	9:03	9:10	9:12	9:15	9:17	9:22	9:27	9:31	9:38	9:47	9:58	10:02	10:05	10:07	10:11	10:13	10:16	10:19	10:22	10:29															
2354																												10:35	10:44	10:55	11:05	11:13	11:18	11:23	11:38
2124	9:32	9:39	9:41	9:44	9:46	9:51	9:56	10:00	10:07	10:16	10:27	10:31	10:34	10:36	10:40	10:42	10:45	10:48	10:51	10:58															
2126	9:58	10:05	10:07	10:10	10:12	10:17	10:22	10:26	10:33	10:42	10:53	10:57	11:00	11:02	11:06	11:08	11:11	11:14	11:17	11:24															
2128	10:34	10:41	10:43	10:46	10:48	10:53	10:58	11:02	11:09	11:18	11:29	11:33	11:36	11:38	11:42	11:44	11:47	11:50	11:53	12:00															
2356																										12:12	12:15	12:25	12:35	12:46	12:55	13:04	13:08	13:14	13:29
2130	10:51	10:58	11:00	11:03	11:05	11:10	11:15	11:19	11:26	11:35	11:46	11:50	11:53	11:55	11:59	12:01	12:04	12:07	12:10	12:19	12:24	12:29	12:33		12:39	12:46	12:49	12:58	13:08	13:18	13:27	13:36	13:40	13:47	14:02
2134	11:34	11:41	11:43	11:46	11:48	11:53	11:58	12:02	12:09	12:18	12:29	12:33	12:36	12:38	12:42	12:44	12:47	12:50	12:53	13:00															
2136	12:09	12:16	12:18	12:21	12:23	12:28	12:33	12:37	12:44	12:53	13:04	13:08	13:11	13:13	13:17	13:19	13:22	13:25	13:28	13:35															
2140	12:39	12:46	12:48	12:51	12:53	12:58	13:03	13:07	13:14	13:23	13:34	13:38	13:41	13:43	13:47	13:49	13:52	13:55	13:58	14:05															
